,date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
3031,2017-04-22,691453,145,142087695,979915.1379310341,2.26016436,20255522192.61148,8961968664.539762,520808749422.141,0.000673906974443166,0.838037282629474,0.00039646,0.493017988641252,183.897082999856,228685.289758317,3753983.7870905,1812.5,4.0615408418826195,2253935.08654661,1812.5,2253935.08654661,52.8310157,44.57245003873428,1,1243.55039257744,177.49495093005132,20.94759990778277,16288461.09776778,20152156.25,13514145.54101164,272882,650251,308312.47292371,383402096.7408009,1.61154861655604,2004.0419147758937,0.023193765,28.842615571098886,1047911.09946418,1303130259.1249378,0.03377230661656915,0.02904148165007625,0.039458013746935534
3032,2017-04-23,637701,153,143301704,936612.444444444,2.26874872,20362991159.518238,8975428161.050758,520808749422.141,0.00069067135241381,0.863340214939094,0.0004068000000000001,0.50850060337641,166.55815931985902,208197.9461932461,3961100.13396446,1912.5,4.28512271870583,2390627.8366700686,1912.5,2390627.8366700686,57.76676682,44.76977224248586,1,1250.0014832261802,175.3824496041919,33.6809198845478,16290373.59776771,20152634.375,13515944.1493902,241154,585455,282002.51625156,352503563.5879649,1.6957889555694499,2119.7387097003866,0.025636505,32.045669274735374,992808.12298291,1241011626.2876365,0.033770245184001985,0.02187097775190227,0.03946050775820712
3033,2017-04-24,616696,124,121111663,976706.959677419,2.27570599,20482848937.33466,9000656957.664867,520808749422.141,0.000847496976283635,1.0655066257764754,0.000452,0.5682722278997074,193.860695839813,243729.31311300464,3210303.37654636,1550.0,3.47257950606593,1948721.1354967845,1550.0,1948721.1354967845,44.67220833,44.91136390248222,1,1257.23944225599,171.31763381815938,29.80724808554985,16291923.59776769,20153021.875,13518271.61103083,228745,549879,364699.31101191,458514358.36775744,2.5843070339957004,3249.092734038986,0.03719111,46.758130393281164,1421056.16754652,1786607863.5006213,0.03371678757807184,0.02134113364622488,0.03893003041421311
3034,2017-04-25,740074,148,142967509,965996.6824324321,2.3093692999999997,20853825941.358643,9030095756.946499,520808749422.141,0.000836442574547342,1.0705333393083476,0.0005,0.63993235870836,270.80162927934504,346589.4507335962,3831652.41716823,1850.0,4.14422107898027,2367749.727220932,1850.0,2367749.727220932,31.3085022,45.41758543429871,1,1279.86471741672,175.05280263102588,32.909705808978465,16293773.59776745,20153484.375,13520087.77717047,323754,705110,520426.48010859,666075489.9003589,3.41535505501302,4371.192432362004,0.03957,50.64424686817961,2408201.00284023,3082171495.982773,0.0337192445230154,0.02122390188013393,0.038987540389797085
3035,2017-04-26,769382,153,148693979,971856.071895425,2.33216845,21127120044.954502,9059002607.572067,520808749422.141,0.000757194969627737,0.9816922665780032,0.000452,0.5860114267682046,252.54572382949797,327421.85828657774,3961100.13396446,1912.5,4.28372574073847,2479528.437376529,1912.5,2479528.437376529,36.68304366,45.777745491799934,1,1296.4854574517801,176.07778120726115,24.313126099574642,16295686.09776734,20153962.5,13521830.66612442,333528,737977,444229.38973102,575936943.5589465,2.30188962025201,2984.366417315932,0.03111108,40.335062785618916,1698741.59628472,2202393775.551562,0.03372621976074661,0.016594273738799868,0.03881092071136388
3036,2017-04-27,718553,147,142242786,967638.0,2.4099622000000003,21934673309.8249,9101666968.793982,521879354644.93396,0.000863958180916478,1.1627926378137212,0.00049536,0.6667000484402948,257.826720139669,347006.3929391144,3813586.2247299,1837.5,4.11527245878135,2473072.793542155,1837.5,2473072.793542155,33.75482431,47.129116742760466,1,1345.8899556692,201.9443161376363,28.773219462006626,16297523.59576723,20154421.875,13523745.93819136,298425,671223,482820.57236337,649823358.7343137,2.9084908228545396,3914.508584635971,0.04444444,59.817325381342414,1952245.93558889,2627508195.7051067,0.0337357926419197,0.017446372592759003,0.03896012363226764
3037,2017-04-28,726149,136,135543712,996644.941176471,2.40107994,21971111453.645767,9150512276.805914,521974519553.627,0.000818980271843324,1.1039732491110656,0.0004971999999999999,0.6702182193260803,249.902821169552,336865.29325989756,3528859.19852578,1700.0,3.80692979855275,2291574.764389253,1700.0,2291574.764389253,33.384526799999996,46.713799451554536,1,1347.98515552309,198.8482620725356,29.652776327792548,16299223.59576713,20154846.875,13524526.744559899,305139,697434,488226.88700929994,658122596.2157853,2.3231831803386402,3131.6164406574076,0.03381959,45.58830528587714,1620266.9381963,2184095780.673461,0.03367856754899887,0.01730600757207185,0.03894491028060018
3038,2017-04-29,827017,173,168083774,971582.50867052,2.41223986,22132640553.97397,9175140885.441952,521974519553.62604,0.000742420375103351,1.007995467726912,0.00044880000000000007,0.6093426057344696,254.11490356945703,345015.68069736275,4488916.48047764,2162.5,4.84199622883183,2936059.235518696,2162.5,2936059.235518696,40.74749256,46.72334184235339,1,1357.71525341905,197.086575070756,30.80263897874401,16301386.09567707,20155387.5,13526878.12944218,342279,796092,400058.63112005,543165705.7336369,1.5749221274876002,2138.295795437096,0.030327695,41.176374102540656,1253782.90631586,1702280176.3811102,0.033678071123188484,0.017199662745651104,0.03894000249863832
3039,2017-04-30,726257,151,145882662,966110.344370861,2.44637619,22530412834.84568,9209709000.770348,521974519553.627,0.000717779415656128,0.9919398373695312,0.00044880000000000007,0.6202220198868487,198.88232048982601,274846.6901381094,3918071.61012788,1887.5,4.225761752429141,2608442.6527103987,1887.5,2608442.6527103987,46.54719409,47.36359556711758,1,1381.9563722969,207.16934519329206,27.752681904245147,16303273.59567704,20155859.375,13525213.77561052,277080,648485,350252.55362286,484033748.392373,1.6364280290346398,2261.4721425296775,0.026850525,37.10625412326721,1061199.03040853,1466530762.3483596,0.0335567931933569,0.016179079976567926,0.03878270320258536
3040,2017-05-01,713866,150,147418239,982788.26,2.52560356,23429544485.43724,9276810065.842957,521974519553.627,0.000775120657817613,1.1138030314384744,0.00048600000000000005,0.6983535631770882,231.422348959668,332540.37447488814,3892124.11602107,1875.0,4.19729385466303,2694265.2900350625,1875.0,2694265.2900350625,35.75992753,48.973510505639574,1,1436.9414880187,215.8038678302414,31.88699561241169,16305148.59567638,20156328.125,13526790.80955489,298563,677526,455961.45520051,655189931.9149927,2.13522221326199,3068.1893843752655,0.035560515,51.098379338811306,1446668.56526254,2078778080.838232,0.033653166152588516,0.01712850918775824,0.038937488917166384
